"date","close","volume","open","high","low"
"2017/03/23","817.5800","3485390.0000","821.0000","822.5700","812.2570"
"2017/03/22","829.5900","1399409.0000","831.9100","835.5500","827.1801"
"2017/03/21","830.4600","2461375.0000","851.4000","853.5000","829.0200"
"2017/03/20","848.4000","1217560.0000","850.0100","850.2200","845.1500"
"2017/03/17","852.1200","1712397.0000","851.6100","853.4000","847.1100"
"2017/03/16","848.7800","977384.0000","849.0300","850.8500","846.1300"
"2017/03/15","847.2000","1381328.0000","847.5900","848.6300","840.7700"
"2017/03/14","845.6200","779920.0000","843.6400","847.2400","840.8000"
"2017/03/13","845.5400","1149928.0000","844.0000","848.6850","843.2500"
"2017/03/10","843.2500","1702731.0000","843.2800","844.9100","839.5000"
"2017/03/09","838.6800","1261393.0000","836.0000","842.0000","834.2100"
"2017/03/08","835.3700","988900.0000","833.5100","838.1500","831.7900"
"2017/03/07","831.9100","1037573.0000","827.4000","833.4100","826.5200"
"2017/03/06","827.7800","1108799.0000","826.9500","828.8800","822.4000"
"2017/03/03","829.0800","890640.0000","830.5600","831.3600","825.7510"
"2017/03/02","830.6300","937824.0000","833.8500","834.5100","829.6400"
"2017/03/01","835.2400","1495934.0000","828.8500","836.2550","827.2600"
"2017/02/28","823.2100","2258695.0000","825.6100","828.5400","820.2000"
"2017/02/27","829.2800","1101120.0000","824.5500","830.5000","824.0000"
"2017/02/24","828.6400","1392039.0000","827.7300","829.0000","824.2000"
"2017/02/23","831.3300","1471342.0000","830.1200","832.4600","822.8800"
"2017/02/22","830.7600","983058.0000","828.6600","833.2500","828.6400"
"2017/02/21","831.6600","1259841.0000","828.6600","833.4500","828.3500"
"2017/02/17","828.0700","1602549.0000","823.0200","828.0700","821.6550"
"2017/02/16","824.1600","1285919.0000","819.9300","824.4000","818.9800"
"2017/02/15","818.9800","1311316.0000","819.3600","823.0000","818.4700"
"2017/02/14","820.4500","1054472.0000","819.0000","823.0000","816.0000"
"2017/02/13","819.2400","1205835.0000","816.0000","820.9590","815.4900"
"2017/02/10","813.6700","1134701.0000","811.7000","815.2500","809.7800"
"2017/02/09","809.5600","990260.0000","809.5100","810.6600","804.5400"
"2017/02/08","808.3800","1155892.0000","807.0000","811.8400","803.1903"
"2017/02/07","806.9700","1240257.0000","803.9900","810.5000","801.7800"
"2017/02/06","801.3400","1182882.0000","799.7000","801.6700","795.2501"
"2017/02/03","801.4900","1461217.0000","802.9900","806.0000","800.3700"
"2017/02/02","798.5300","1530827.0000","793.8000","802.7000","792.0000"
"2017/02/01","795.6950","2027708.0000","799.6800","801.1900","791.1900"
"2017/01/31","796.7900","2153957.0000","796.8600","801.2500","790.5200"
"2017/01/30","802.3200","3243568.0000","814.6600","815.8400","799.8000"
"2017/01/27","823.3100","2964989.0000","834.7100","841.9500","820.4400"
"2017/01/26","832.1500","2944642.0000","837.8100","838.0000","827.0100"
"2017/01/25","835.6700","1612854.0000","829.6200","835.7700","825.0600"
"2017/01/24","823.8700","1472228.0000","822.3000","825.9000","817.8210"
"2017/01/23","819.3100","1962506.0000","807.2500","820.8700","803.7400"
"2017/01/20","805.0200","1668638.0000","806.9100","806.9100","801.6900"
"2017/01/19","802.1750","917085.0000","805.1200","809.4800","801.8000"
"2017/01/18","806.0700","1293893.0000","805.8100","806.2050","800.9900"
"2017/01/17","804.6100","1361935.0000","807.0800","807.1400","800.3700"
"2017/01/13","807.8800","1098154.0000","807.4800","811.2244","806.6900"
"2017/01/12","806.3600","1352872.0000","807.1400","807.3900","799.1700"
"2017/01/11","807.9100","1065360.0000","805.0000","808.1500","801.3700"
"2017/01/10","804.7900","1176637.0000","807.8600","809.1299","803.5100"
"2017/01/09","806.6500","1274318.0000","806.4000","809.9664","802.8300"
"2017/01/06","806.1500","1639246.0000","795.2600","807.9000","792.2041"
"2017/01/05","794.0200","1334028.0000","786.0800","794.4800","785.0200"
"2017/01/04","786.9000","1071198.0000","788.3600","791.3400","783.1600"
"2017/01/03","786.1400","1657291.0000","778.8100","789.6300","775.8000"
"2016/12/30","771.8200","1769809.0000","782.7500","782.7800","770.4100"
"2016/12/29","782.7900","743808.0000","783.3300","785.9300","778.9200"
"2016/12/28","785.0500","1142148.0000","793.7000","794.2300","783.2000"
"2016/12/27","791.5500","789151.0000","790.6800","797.8600","787.6570"
"2016/12/23","789.9100","623682.0000","790.9000","792.7400","787.2800"
"2016/12/22","791.2600","972147.0000","792.3600","793.3200","788.5800"
"2016/12/21","794.5600","1208770.0000","795.8400","796.6757","787.1000"
"2016/12/20","796.4200","950345.0000","796.7600","798.6500","793.2700"
"2016/12/19","794.2000","1231966.0000","790.2200","797.6600","786.2700"
"2016/12/16","790.8000","2435100.0000","800.4000","800.8558","790.2900"
"2016/12/15","797.8500","1623709.0000","797.3400","803.0000","792.9200"
"2016/12/14","797.0700","1700875.0000","797.4000","804.0000","794.0100"
"2016/12/13","796.1000","2122735.0000","793.9000","804.3799","793.3400"
"2016/12/12","789.2700","2102288.0000","785.0400","791.2500","784.3554"
"2016/12/09","789.2900","1821146.0000","780.0000","789.4300","779.0210"
"2016/12/08","776.4200","1487517.0000","772.4800","778.1800","767.2300"
"2016/12/07","771.1900","1757710.0000","761.0000","771.3600","755.8000"
"2016/12/06","759.1100","1690365.0000","764.7300","768.8300","757.3400"
"2016/12/05","762.5200","1393566.0000","757.7100","763.9000","752.9000"
"2016/12/02","750.5000","1452181.0000","744.5900","754.0000","743.1000"
"2016/12/01","747.9200","3017001.0000","757.4400","759.8500","737.0245"
"2016/11/30","758.0400","2386628.0000","770.0700","772.9900","754.8300"
"2016/11/29","770.8400","1616427.0000","771.5300","778.5000","768.2400"
"2016/11/28","768.2400","2177039.0000","760.0000","779.5300","759.8000"
"2016/11/25","761.6800","587421.0000","764.2600","765.0000","760.5200"
"2016/11/23","760.9900","1477501.0000","767.7300","768.2825","755.2500"
"2016/11/22","768.2700","1592372.0000","772.6300","776.9600","767.0000"
"2016/11/21","769.2000","1324431.0000","762.6100","769.7000","760.6000"
"2016/11/18","760.5400","1528555.0000","771.3700","775.0000","760.0000"
"2016/11/17","771.2300","1298484.0000","766.9200","772.7000","764.2300"
"2016/11/16","764.4800","1468196.0000","755.2000","766.3600","750.5100"
"2016/11/15","758.4900","2375056.0000","746.9700","764.4162","746.9700"
"2016/11/14","736.0800","3644965.0000","755.6000","757.8500","727.5400"
"2016/11/11","754.0200","2421889.0000","756.5400","760.7800","750.3800"
"2016/11/10","762.5600","4733916.0000","791.1700","791.1700","752.1800"
"2016/11/09","785.3100","2603860.0000","779.9400","791.2265","771.6700"
"2016/11/08","790.5100","1361472.0000","783.4000","795.6330","780.1900"
"2016/11/07","782.5200","1574426.0000","774.5000","785.1900","772.5500"
"2016/11/04","762.0200","2131948.0000","750.6600","770.3600","750.5611"
"2016/11/03","762.1300","1933937.0000","767.2500","769.9500","759.0300"
